Dista(Graus)	Long	Lat	Bouguer(mGal)
2.88978474738	-52.1150508742	-13.7217253205	90.9482421875
2.92636430114	-52.0816861816	-13.736720688	87.1554336548
2.96294385491	-52.0483214891	-13.7517160554	84.7486495972
2.99952340867	-52.0149567965	-13.7667114228	82.181060791
3.03610296244	-51.981592104	-13.7817067903	80.9845275879
3.0726825162	-51.9482274114	-13.7967021577	78.4036026001
3.10926206997	-51.9148627189	-13.8116975252	79.4554595947
3.14584162373	-51.8814980263	-13.8266928926	76.6903305054
3.18242117749	-51.8481333338	-13.84168826	73.4645462036
3.21900073126	-51.8147686412	-13.8566836275	75.1799163818
3.25558028502	-51.7814039487	-13.8716789949	75.607673645
3.29215983879	-51.7480392561	-13.8866743624	73.8701705933
3.32873939255	-51.7146745636	-13.9016697298	75.185508728
3.36531894632	-51.681309871	-13.9166650972	75.9715499878
3.40189850008	-51.6479451785	-13.9316604647	76.2492294312
3.43847805384	-51.6145804859	-13.9466558321	75.1687011719
3.47505760761	-51.5812157934	-13.9616511995	74.4153823853
3.51163716137	-51.5478511008	-13.976646567	75.8267364502
3.54821671514	-51.5144864083	-13.9916419344	77.9401473999
3.5847962689	-51.4811217157	-14.0066373019	79.7605133057
3.62137582267	-51.4477570232	-14.0216326693	80.8153915405
3.65795537643	-51.4143923306	-14.0366280367	81.3433914185
3.69453493019	-51.3810276381	-14.0516234042	83.0910720825
3.73111448396	-51.3476629455	-14.0666187716	83.41796875
3.76769403772	-51.314298253	-14.0816141391	84.7133865356
3.80427359149	-51.2809335604	-14.0966095065	86.8087463379
3.84085314525	-51.2475688679	-14.1116048739	87.404548645
3.87743269902	-51.2142041753	-14.1266002414	89.1241073608
3.91401225278	-51.1808394828	-14.1415956088	90.2346878052
3.95059180654	-51.1474747902	-14.1565909762	93.8489837646
3.98717136031	-51.1141100977	-14.1715863437	95.2452926636
4.02375091407	-51.0807454051	-14.1865817111	99.6229400635
4.06033046784	-51.0473807126	-14.2015770786	100.476638794
4.0969100216	-51.01401602	-14.216572446	105.364212036
4.13348957537	-50.9806513275	-14.2315678134	111.072219849
4.17006912913	-50.9472866349	-14.2465631809	113.996192932
4.20664868289	-50.9139219424	-14.2615585483	118.511627197
4.24322823666	-50.8805572498	-14.2765539158	121.13874054
4.27980779042	-50.8471925573	-14.2915492832	125.64969635
4.31638734419	-50.8138278647	-14.3065446506	128.284591675
4.35296689795	-50.7804631722	-14.3215400181	131.091094971
4.38954645172	-50.7470984796	-14.3365353855	131.960983276
4.42612600548	-50.7137337871	-14.3515307529	132.952896118
4.46270555924	-50.6803690945	-14.3665261204	133.19128418
4.49928511301	-50.647004402	-14.3815214878	132.599243164
4.53586466677	-50.6136397094	-14.3965168553	132.015182495
4.57244422054	-50.5802750169	-14.4115122227	128.691482544
4.6090237743	-50.5469103243	-14.4265075901	127.546302795
